지점코드,버스정류소명,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
S_0042_SJ00,군자교남단,0,0,0,0,27,51,95,164,233,241,222,191,270,294,195,210,203,199,165,147,95,58,37,25
S_0003_GH23,금호역,10,4,0,0,1781,2011,3793,5958,8576,6799,4773,3582,3879,4445,3911,3576,3199,3168,2591,2252,1901,2024,1492,699
S_0031_GH04,금호역,0,0,0,0,0,27,56,52,137,165,161,177,610,370,250,242,285,338,295,197,98,80,74,39
S_0035_GH04,금호역,0,0,0,0,13,113,140,257,404,374,367,383,558,461,485,447,444,359,406,213,129,108,110,51
S_0040_HD02,논골신협대림아파트후문,0,0,0,0,5,39,91,167,329,317,254,326,355,370,379,316,385,262,271,166,109,99,59,40
S_0037_SS12,뚝섬역 2번출구,0,0,0,0,12,16,34,40,62,49,66,63,145,136,161,144,137,165,146,127,99,79,77,51
S_0019_SS23,뚝섬역3번5번출구(성수역),1,1,1,41,1437,302,962,2077,3569,3161,3252,3127,4204,4553,5179,5867,5690,5527,6712,4713,3956,3833,3131,1541
S_0038_SS12,뚝섬역 4번출구,1,0,0,0,17,21,18,104,161,207,233,314,356,409,346,413,434,487,510,346,178,167,160,82
S_0034_MJ00,마장역,0,0,0,1,17,54,157,304,341,402,494,601,781,697,621,718,658,725,785,623,423,392,204,144
S_0013_MJ00,마장축산물시장(도선사거리),31,12,13,17,4035,4319,3385,5629,7194,6968,7151,7948,8151,8139,7401,7998,8417,8232,8026,5681,9876,8358,2737,934
S_0012_MJ00,마장축산물시장(동대문구청.용두역3번출구),29,85,79,0,230,1253,2672,4662,8618,6956,7101,8053,9842,10667,11883,12770,12314,12161,10766,6401,4339,3977,2933,1178
S_0011_HD02,무학여고(행당신동아.행당푸르지오아파트),110,57,52,51,8055,6362,6792,10510,10393,9408,9849,9231,10787,10606,9608,10462,11772,10099,9347,6245,5181,5564,4688,2176
S_0039_GH01,삼성래미안아파트앞,0,0,0,0,56,59,128,364,392,407,412,434,453,484,507,560,509,428,401,277,171,105,139,45
S_0018_YS02,상왕십리역(왕십리2동주민센터),7,2,1,12,493,1601,2297,5871,8033,5497,6092,6788,7864,8242,8486,8874,8559,8542,8854,6750,5227,5518,4288,2004
S_0010_DS00,상왕십리역(왕십리센트라스아파트),20,1,0,8,4019,5162,3533,6313,8485,7328,7321,8162,8913,9024,9139,9733,9840,10333,10810,8948,7274,7248,5450,3160
S_0041_SS12,상원,1,0,0,0,2,31,29,63,118,138,139,176,155,258,241,291,311,283,333,146,78,88,64,53
S_0030_SS11,서울숲(뚝도아리수정수센터방면),0,0,0,2,34,22,42,103,222,393,302,404,410,547,591,694,729,704,734,559,398,322,247,116
S_0016_SS12,서울숲(성동구민종합체육센터),35,18,16,28,498,1083,1574,3722,7192,5716,4322,5242,6830,7665,8061,9777,9919,10115,9127,5473,3917,4013,2832,1202
S_0022_SS12,성동교남단(한양대정문앞),5,0,0,11,1070,892,1162,1341,1494,1536,2021,2927,3132,3312,4197,4850,5546,5652,6741,4597,3617,3478,2404,772
S_0047_MJ00,성동구도시관리공단,0,0,0,1,10,21,33,69,189,169,246,281,273,311,298,304,448,463,324,150,109,81,87,18
S_0027_SS12,성동구민종합체육센터(서울숲),0,0,0,0,178,307,742,1111,1712,1792,2008,2407,3302,3777,4530,5358,5741,5268,5441,3649,3314,2678,1508,693
S_0009_HD01,성동구청 앞,36,0,3,2,931,1518,1925,3142,5241,4397,4935,5565,6231,6912,7818,8844,9046,9219,9439,8394,7826,8862,7759,4238
S_0029_HD01,성동구청(한전입구방면),8,0,0,2,249,241,263,657,1384,1037,1293,1315,1592,2048,2250,2534,2608,2365,2661,2152,1833,2158,2078,1429
S_0044_MJ00,성동노인복지관,0,0,0,0,58,33,61,142,405,278,473,608,531,400,457,563,490,422,313,316,384,152,252,55
S_0036_MJ00,"성동사회복지관,청계천박물관",0,0,0,0,10,44,107,182,267,349,400,519,443,503,403,542,684,563,335,171,141,133,70,32
S_0005_SJ00,성동세무서(제인병원),2,1,0,3,2111,1652,2885,5866,7485,5747,5936,5806,5671,5881,6484,6640,6216,8035,7900,4521,2826,2522,1969,742
S_0046_SS23,성수사거리,2,0,0,1,36,74,68,119,324,351,387,549,603,737,747,907,1103,897,946,616,412,365,274,91
S_0007_SS21,성원중성수동이마트앞(성수공고앞),8,1,14,3,124,311,544,1240,1778,2120,2643,3257,4079,4257,5706,5936,6429,5535,5405,4224,3890,3361,2152,856
S_0020_SJ00,송정동건영아파트(송정동서울숲아이파크),4,0,1,0,1490,3022,3911,6206,7611,6395,5803,6131,6549,6788,5725,5590,5825,5204,4680,3909,3186,2869,2319,1203
S_0006_GH23,"신금호역(금호고등학교,금호자이1차아파트입구)",7,2,0,0,138,925,2190,4503,7075,6113,4964,4425,4874,5221,6455,6047,6103,5677,5634,4760,3761,3543,2543,1370
S_0032_YD00,신답역,0,0,0,1,5,25,81,213,316,328,202,256,316,308,365,539,590,630,759,535,241,299,325,217
S_0004_OS00,옥수삼성아파트.래미안옥수리버젠(극동그린아파트앞),3,1,0,1,890,1234,1388,4682,5033,4805,4150,3954,4007,4361,4851,4441,4701,4472,3646,2810,2613,2218,1630,801
S_0021_HD01,왕십리광장.왕십리역4번출구(무학여고),240,37,24,29,351,496,3024,5321,9270,7430,7617,9516,11088,12498,13437,15054,15869,14819,12671,9168,7680,8217,8296,4632
S_0023_DS00,왕십리센트라스아파트(성동고등학교),5,0,0,14,1056,999,1415,2789,4333,3781,3549,3809,4220,4046,4121,3874,3754,3867,3670,2619,2106,1889,1778,761
S_0014_YD00,용답동.로데오거리.답십리역(서울교통공사.서울새활용플라자),20,2,0,9,445,826,2672,4824,8050,6071,5073,5556,7293,6937,7439,7931,8943,10272,11819,9905,6820,8325,7398,3548
S_0008_EB00,응봉동주민센터(응봉사거리),25,7,13,5,97,1403,1832,6457,9291,7424,6577,6289,5887,7115,5998,6735,5984,5577,4842,3019,2918,2040,1749,811
S_0002_HD01,응봉사거리(무학여고앞),5,0,0,109,1174,4479,3158,7436,9488,6825,5814,5484,6335,6968,6587,7683,7491,7319,7142,5161,4262,4926,4168,1800
S_0025_EB00,응봉현대아파트(삼성래미안아파트앞),0,0,1,0,186,348,449,1605,3127,2669,2485,2134,2244,2342,2169,2482,2406,1749,1352,876,764,682,424,180
S_0028_SJ00,송정동현대아이파크아파트(송정동자치회관),63,173,198,184,19,275,891,1420,1938,2791,2445,2140,2531,2448,2100,2368,2203,1825,1445,957,809,694,447,236
S_0045_SJ00,제인병원,0,0,0,0,3,13,11,63,73,121,128,129,234,201,190,298,202,181,183,102,67,87,88,11
S_0024_DS00,코스모타워.서울신용보증재단성동지점(상왕십리역),23,8,9,26,1669,1220,1621,2159,4399,3390,4280,5223,6185,6655,6550,6225,5716,5193,4384,4067,3146,2987,2559,1690
S_0043_SG00,"한양대앞,한양시장",0,0,0,1,24,59,33,85,75,101,152,172,257,297,270,294,390,466,342,236,146,174,121,90
S_0001_SG00,한양대정문앞(서울숲삼부아파트),16,3,3,5,1275,2198,3027,4036,5675,5341,5362,6193,7254,7590,8458,9400,10346,10294,9874,7071,5582,5816,5069,2338
S_0026_HD02,행당역,0,1,0,2,236,677,1574,4101,5576,4990,4582,4857,5659,5906,6111,5982,5939,5512,5483,3856,2663,2242,1528,588
S_0015_HD02,행당역.대림아파트정문,15,1,3,1,51,572,1184,2804,5364,4920,7161,8920,10421,10332,11092,14232,14448,14118,13801,10810,8069,7762,6561,2299
S_0017_SS23,화양사거리(성수초등학교),9,2,0,3,555,2583,2702,6349,8789,7615,5092,5536,6282,6317,6229,6730,7236,7716,7759,4736,2933,2596,1863,852
S_0033_GH04,힐스테이트서울숲리버아파트,0,0,0,0,86,150,148,378,613,888,613,738,735,822,753,839,841,887,758,425,405,286,341,104
